Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2006","2006","hg/ha","367257","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2007","2007","hg/ha","295676","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2008","2008","hg/ha","235194","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2009","2009","hg/ha","346520","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2010","2010","hg/ha","346875","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2011","2011","hg/ha","371599","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2012","2012","hg/ha","417334","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2013","2013","hg/ha","378599","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2014","2014","hg/ha","340184","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2015","2015","hg/ha","366443","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2016","2016","hg/ha","371759","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2017","2017","hg/ha","364197","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2018","2018","hg/ha","366673","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2019","2019","hg/ha","398967","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2020","2020","hg/ha","424085","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01322","Lemons and limes","2021","2021","hg/ha","345832","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1961","1961","tonnes","505212","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1962","1962","tonnes","589761","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1963","1963","tonnes","462375","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1964","1964","tonnes","673221","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1965","1965","tonnes","510382","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1966","1966","tonnes","558696","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1967","1967","tonnes","632650","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1968","1968","tonnes","606994","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1969","1969","tonnes","570417","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1970","1970","tonnes","547537","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1971","1971","tonnes","599011","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1972","1972","tonnes","614923","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1973","1973","tonnes","805213","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1974","1974","tonnes","651719","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1975","1975","tonnes","1053418","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1976","1976","tonnes","646820","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1977","1977","tonnes","932581","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1978","1978","tonnes","915345","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1979","1979","tonnes","702160","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1980","1980","tonnes","755690","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1981","1981","tonnes","1122180","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1982","1982","tonnes","901740","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1983","1983","tonnes","929900","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1984","1984","tonnes","782000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1985","1985","tonnes","942600","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1986","1986","tonnes","696720","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1987","1987","tonnes","1043260","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1988","1988","tonnes","763850","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1989","1989","tonnes","738450","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1990","1990","tonnes","705800","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1991","1991","tonnes","710300","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1992","1992","tonnes","758400","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1993","1993","tonnes","894500","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1994","1994","tonnes","900800","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1995","1995","tonnes","822800","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1996","1996","tonnes","912600","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1997","1997","tonnes","885400","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1998","1998","tonnes","831000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","1999","1999","tonnes","677670","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2000","2000","tonnes","762040","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2001","2001","tonnes","913530","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2002","2002","tonnes","733001","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2003","2003","tonnes","930772","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2004","2004","tonnes","723934","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2005","2005","tonnes","789250","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2006","2006","tonnes","854570","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2007","2007","tonnes","723934","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2008","2008","tonnes","561550","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2009","2009","tonnes","827350","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2010","2010","tonnes","800137","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2011","2011","tonnes","834611","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2012","2012","tonnes","912000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2013","2013","tonnes","827352","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2014","2014","tonnes","747520","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2015","2015","tonnes","820100","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2016","2016","tonnes","820100","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2017","2017","tonnes","800140","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2018","2018","tonnes","805580","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2019","2019","tonnes","909000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2020","2020","tonnes","983390","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5510","Production","01322","Lemons and limes","2021","2021","tonnes","801950","A","Official figure"
